id,title,slug,description,imageUrl,procedure,durationInMinutes,amount,price,isActive
1,Klassiske morgenhorn,klassiske-morgenhorn,Lette smørfyldte horn til morgenbordet,/images/products/klassiske-morgenhorn.jpg,"1. Lun mælk og smør. 2. Rør gæren ud i den lune væske. 3. Tilsæt mel, sukker og salt, og ælt dejen smidig. 4. Hæv 45 min. 5. Rul ud, form horn og efterhæv 20 min. 6. Pensl og bag 12–15 min ved 220°C.",90,12,12.0,true
2,Rustik baguette,rustik-baguette,Sprød baguette med sej krumme og god smag,/images/products/rustik-baguette.jpg,"1. Rør fordej af vand og lidt gær, hvil 8–12 timer. 2. Tilsæt resten af vand, mel og salt, ælt kort. 3. Hæv 1½ time med foldninger. 4. Form lange baguettes, efterhæv 30 min. 5. Bag 20–25 min ved 240°C med damp.",180,2,20.0,true
3,Lyst franskbrød,lyst-franskbroed,Klassisk lyst franskbrød perfekt til pålæg,/images/products/lyst-franskbroed.jpg,"1. Lun mælk. 2. Rør gær ud, tilsæt smør, mel og salt. 3. Ælt til glat dej og hæv 60 min. 4. Form brød i form, efterhæv 30 min. 5. Rids og bag 30–35 min ved 200°C.",120,1,18.0,true
4,Rugbrød med kerner,rugbroed-med-kerner,Mørkt rugbrød med solsikke- og hørfrø for ekstra bid,/images/products/rugbroed-med-kerner.jpg,"1. Rør surdej med vand og rugmel. 2. Tilsæt kerner, sirup og salt. 3. Hæv 2–3 timer. 4. Hæld i form, glat overfladen. 5. Bag 60–70 min ved 200°C, afkøl helt før skæring.",210,1,25.0,true
5,Grovboller med kerner,grovboller-med-kerner,Saftige boller med fuldkorn og kerner til madpakken,/images/products/grovboller-med-kerner.jpg,"1. Bland vand, gær og honning. 2. Tilsæt fuldkornsmel, kerner og salt. 3. Ælt og hæv 60 min. 4. Sæt boller med ske, efterhæv 20 min. 5. Bag 12–15 min ved 225°C.",100,12,10.0,true
6,Surdejsboller,surdejsboller,Let syrlige boller med store luftbobler,/images/products/surdejsboller.jpg,"1. Bland surdej, vand og mel, autolyse 30 min. 2. Tilsæt salt og fold. 3. Hæv 3–4 timer med stræk og fold. 4. Koldhæv natten over. 5. Del og bag 15–18 min ved 250°C.",1080,10,14.0,true
7,Kanelsnegle,kanelsnegle,Bløde snegle med remonce og kanel til den søde tand,/images/products/kanelsnegle.jpg,"1. Lun mælk og smør. 2. Rør gær ud og tilsæt mel, sukker, æg og salt. 3. Hæv 45 min. 4. Rul ud, smør remonce på, rul sammen og skær snegle. 5. Efterhæv 20 min og bag 10–12 min ved 225°C.",120,12,16.0,true
8,Gulerodsboller,gulerodsboller,Saftige boller med revet gulerod og let sødme,/images/products/gulerodsboller.jpg,"1. Bland vand, gær og olie. 2. Tilsæt revet gulerod, mel og salt. 3. Ælt og hæv 60 min. 4. Form boller, efterhæv 20 min. 5. Bag 12–15 min ved 220°C.",110,12,11.0,true
9,Håndværker,haandvaerker,Klassisk rundstykke med birkes og sprød skorpe,/images/products/haandvaerker.jpg,"1. Rør vand og gær sammen. 2. Tilsæt mel og salt, ælt til fast dej. 3. Hæv 60 min. 4. Del i stykker, pensl og dyp i birkes. 5. Efterhæv 20 min og bag 12–15 min ved 230°C.",110,10,9.0,true
10,Flutes med hvidløg,flutes-med-hvidloeg,Bløde flutes med smør og hvidløg – perfekte til grill,/images/products/flutes-med-hvidloeg.jpg,"1. Rør dej af vand, gær, mel og salt, hæv 60 min. 2. Form flutes og efterhæv 20 min. 3. Rids og bag 12–15 min ved 220°C. 4. Pensl med hvidløgssmør og giv 2 min ekstra.",100,2,15.0,true
11,Ciabatta,ciabatta,Italiensk brød med olivenolie og store lufthuller,/images/products/ciabatta.jpg,"1. Rør fordej med lille gærmængde, hvil 8–12 timer. 2. Tilsæt vand, mel, olie og salt. 3. Hæv 2 timer med foldninger. 4. Del og bag 18–20 min ved 240°C.",240,2,22.0,true
12,Surdejsbrød,surdejsbroed,Rundt brød med dyb smag og sprød skorpe,/images/products/surdejsbroed.jpg,"1. Bland surdej, vand og mel, autolyse 30 min. 2. Tilsæt salt og fold. 3. Hæv 3 timer med stræk og fold. 4. Form, koldhæv natten over. 5. Bag 30–35 min ved 250°C i gryde.",1080,1,28.0,true
13,Chokoladerugbrødsboller,chokoladerugbroedsboller,Små mørke boller med rugmel og chokoladestykker,/images/products/chokoladerugbroedsboller.jpg,"1. Rør kærnemælk og gær. 2. Tilsæt rugmel, hvedemel, salt og chokolade. 3. Hæv 60 min. 4. Sæt boller og bag 12–15 min ved 220°C.",90,12,13.0,true
14,Koldhævede boller,koldhaevede-boller,Nemme boller med lang koldhævning for ekstra smag,/images/products/koldhaevede-boller.jpg,"1. Rør vand, en knivspids gær, mel og salt. 2. Dæk til og sæt i køleskab natten over. 3. Sæt dejen i klatter på plade. 4. Bag 15–18 min ved 250°C.",720,10,10.0,true
15,Tebirkes,tebirkes,Smørbagte birkes med remonce og sprød top,/images/products/tebirkes.jpg,"1. Lav butterdej eller brug købt. 2. Smør remonce på og fold. 3. Skær i stykker, pensl og drys med birkes. 4. Bag 12–15 min ved 220°C.",75,8,16.0,true
